"","X.x","egoID","alter.initial","egoalt_relation","egoalt_relate_othr","egoalter_tie","egoalter_commfreq","alter.gender","alt.gender_othr","alter.age","alter.acad.val","alter.career.val","alter.edu","alter.edu.othr","e0102","e0103","e0203","e0104","e0204","e0304","e0105","e0205","e0305","e0405","e0106","e0206","e0306","e0406","e0506","e0107","e0207","e0307","e0407","e0507","e0607","e0108","e0208","e0308","e0408","e0508","e0608","e0708","e0109","e0209","e0309","e0409","e0509","e0609","e0709","e0809","e0110","e0210","e0310","e0410","e0510","e0610","e0710","e0810","e0910","alterID","alter.genderbi","X.y","Q94_1","Q94_2","Q94_3","Q94_4","Q94_5","Q94_6","Q96_1","Q96_2","Q96_3","Q96_4","Q96_5","Q96_6","Q98_1","Q98_2","Q98_3","Q98_4","Q98_5","Q98_6","Q100_1","Q100_2","Q100_3","Q100_4","Q100_5","Q100_6","Q102_1","Q102_2","Q102_3","Q102_4","ego.careerval","ego.acadval","ego.gender","ego.race","Q3_9_TEXT","Q3_7_TEXT","ego.workhours","ego.studentorg","ego.belong","ego.age","ego.year","ext_reg","int_toknow","ext_iden","int_stim","amotiv","int_accomp","ext_intro","ego.genderbi","ego.racetri","mean.clo","mean.comm","mean.careerval","mean.acadval","mean.edu","alt.edudiverse","alt.type","alt.age","alt.agesd","alt.female","alt.male","alt.genratio","ego.ager","mean.eigen","dens","mean.deg","mean.bet","deg.centr","alter.aca.value.avg","alter.career.value.avg","density","gendersim","agediver","belong_cat","alter.same.gen","ego.gen.cen","alter.gen.cen"
"11",13,1020,"tp",1,"",10,1,1,"",57,10,10,5,"",NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102001,0,13,4,2,5,1,3,1,3,5,1,5,1,3,1,2,5,1,2,1,4,1,1,5,1,5,1,3,1,1,10,-2,2,1,NA,NA,25,3,2,NA,NA,4.75,1.25,4.25,1,3.25,1,1.75,1,1,10,1.33333333333333,9,6.66666666666667,5.66666666666667,3,3,68,15.7162336455017,1,2,0.5,NA,0.804737854124365,0.666666666666667,1.33333333333333,0.333333333333333,0.333333333333333,6.66666666666667,9,0.666666666666667,0.333333333333333,1.58496250072116,0,"No",0.14449594438007,-0.408554286820205
"12",14,1023,"rs",1,"",10,1,1,"",47,9,9,7,"",10,8,5,8,0,5,10,5,6,0,6,3,7,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102301,0,14,2,5,5,4,1,5,5,3,5,5,3,1,5,3,4,5,5,5,1,5,5,4,5,5,5,1,5,5,10,10,1,1,NA,NA,15,1,5,NA,NA,3.25,5,5,4.25,1,5,4.5,0,1,9.83333333333333,2.16666666666667,9.5,9.33333333333333,6.33333333333333,4,5,42.5,19.6545160204977,1,5,0.2,NA,0.718309010760773,0.8,4,0.666666666666667,0.2,9.33333333333333,9.5,0.8,-0.666666666666667,2.58496250072116,1,"Yes",-0.0555040556199305,-0.408554286820205
"13",15,1025,"mm",3,"",10,2,1,"",27,8,9,7,"",10,10,7,5,5,4,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102501,0,15,3,5,5,4,1,4,4,3,5,5,4,1,5,5,3,5,5,4,1,3,5,3,5,3,4,1,4,5,8,9,1,1,NA,NA,17,3,4,NA,NA,3,5,4.5,4,1,4,4.75,0,1,8.6,2.6,9.4,9.2,8.6,3,5,231.8,428.964683861038,2,2,1,NA,0.782783577374194,0.7,2.8,0.9,0.3,9.2,9.4,0.7,0.2,2.32192809488736,1,"Yes",-0.0555040556199305,-0.408554286820205
"14",16,1027,"db",3,"",10,2,2,"",26,10,10,3,"",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102701,1,16,3,3,4,4,1,1,5,4,4,4,1,1,3,4,3,4,4,4,1,3,3,4,4,4,3,1,3,3,10,10,1,2,NA,NA,0,3,3,NA,NA,3.5,3.75,4,3,1,2.5,3.75,0,2,10,2,10,10,3,1,3,35.5,13.4350288425444,1,1,1,NA,1,1,1,0,0,10,10,1,0,1,0,"No",-0.0555040556199305,0.591445713179795
"15",17,1028,"ha",1,"",10,1,1,"",46,10,10,7,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102801,0,17,5,3,3,3,1,2,3,5,2,5,1,1,3,3,5,3,5,1,1,2,3,5,2,5,1,1,4,2,10,10,1,2,NA,NA,25,1,1,NA,NA,5,2.5,4.5,1.5,1,2.75,2.75,0,2,10,1,10,10,5.5,2,2,46,0,1,1,1,NA,1,1,1,0,0,10,10,1,0,0,0,"Yes",-0.0555040556199305,-0.408554286820205
"16",18,1029,"ng",1,"",10,1,1,"",41,10,10,9,"",10,8,10,10,10,7,8,8,8,8,10,10,8,10,10,10,10,8,10,8,10,10,10,8,10,10,7,10,10,10,8,10,10,10,10,8,0,0,0,0,0,0,0,10,0,102901,0,18,3,3,4,3,2,3,2,3,3,4,2,1,3,3,3,3,3,3,1,4,2,4,3,3,3,1,4,4,10,10,1,2,NA,NA,0,1,2,NA,NA,3.25,3,3.5,2.75,1.25,3.5,2.75,0,2,9.7,1.6,10,10,6.6,3,6,37.125,17.1417410350958,2,8,0.25,NA,0.872112091433492,0.822222222222222,7.4,0.8,0.177777777777778,10,10,0.822222222222222,-0.6,2.5,0,"Yes",-0.0555040556199305,-0.408554286820205
"17",19,1030,"mh",1,"",10,1,1,"",41,10,10,5,"",-4,2,10,10,-4,2,10,2,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103001,0,19,4,3,5,3,1,2,4,4,3,4,1,1,4,3,3,4,4,1,1,3,3,3,4,4,3,1,4,4,10,9,1,1,NA,NA,23,3,3,NA,NA,3.5,3.5,4.25,2,1,3.25,3.5,0,1,9.8,2.2,9,9.2,7.6,4,3,60,13.9821314541096,2,3,0.666666666666667,NA,0.735768711763293,0.8,3.2,1.6,0.2,9.2,9,0.8,-0.2,1.37095059445467,0,"Yes",-0.0555040556199305,-0.408554286820205
"18",20,1031,"km",1,"",10,2,1,"",40,10,10,10,"N/A",10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103101,0,20,4,5,4,4,1,4,4,4,3,5,4,2,4,4,5,4,4,3,1,4,4,4,4,4,4,1,4,4,10,10,1,2,NA,NA,0,3,4,NA,NA,4.25,4,4.25,3.75,1.25,4,4,0,2,10,1.6,10,10,8.8,2,4,29.5,14.8492424049175,3,2,1.5,NA,1,1,4,0,0,10,10,1,0.2,1,1,"Yes",-0.0555040556199305,-0.408554286820205
"19",21,1032,"cp",8,"academic",8,6,2,"",NA,8,6,10,"n/a",2,0,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103201,1,21,1,3,4,3,2,4,4,2,3,4,2,2,5,5,3,4,4,2,1,4,3,3,4,5,4,2,4,4,6,5,1,1,NA,NA,0,2,4,NA,NA,2.25,3.5,4.25,2.75,1.75,4.25,4,0,1,4.8,5.2,4.8,5,7.6,2,2,NA,NA,2,3,0.666666666666667,NA,0.754970354689117,0.666666666666667,1.33333333333333,0.333333333333333,0.333333333333333,5.66666666666667,5.66666666666667,0.666666666666667,-0.333333333333333,0,1,"No",-0.0555040556199305,0.591445713179795
"20",22,1034,"mf",1,"",10,1,1,"",41,5,10,5,"",-8,-6,10,6,9,1,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103401,0,22,5,1,5,1,2,NA,5,5,1,5,1,4,1,1,5,1,5,1,3,1,1,5,1,1,1,3,1,4,10,2,1,1,NA,NA,8,1,5,NA,NA,5,1,4,1,3,NA,2.75,0,1,8.6,2.2,9.6,8.8,6.2,2,3,40.6,13.1263094584883,1,4,0.25,NA,0.68790829556308,0.5,2,1.1,0.5,8.8,9.6,0.5,-0.6,2.32192809488736,1,"Yes",-0.0555040556199305,-0.408554286820205
"21",23,1038,"ht",5,"",10,1,2,"",19,10,10,5,"",8,6,10,7,7,5,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,5,6,10,NA,NA,NA,NA,NA,103801,1,23,5,2,2,2,5,3,3,5,1,5,1,4,3,1,5,2,5,1,3,2,2,4,2,2,1,5,1,1,10,5,1,1,NA,NA,25,1,2,NA,NA,4.75,1.75,3.5,1.25,4.25,2.25,1.75,0,1,6.8,2.2,10,9.1,6.5,4,5,36.2,17.7250607270547,3,7,0.428571428571429,NA,0.561451109406314,0.388888888888889,3.11111111111111,2.44444444444444,0.611111111111111,9,10,0.388888888888889,-0.333333333333333,2.72548055699787,0,"No",-0.0555040556199305,0.591445713179795
"22",24,1039,"nh",1,"",10,1,1,"",50,6,4,5,"",10,10,5,10,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103901,0,24,4,2,4,1,2,3,5,4,3,4,1,2,3,4,4,3,4,1,2,3,4,4,4,4,2,3,3,5,9,9,2,1,NA,NA,20,3,2,NA,NA,4,3,4,1.25,2.25,3,4.5,1,1,9.5,1.5,8.5,7.5,5.5,3,2,61.25,15.3920975395385,2,2,1,NA,0.894702623068257,1,3,0,0,7.5,8.5,1,0,2,0,"No",0.14449594438007,-0.408554286820205
"23",25,1040,"madison",3,"",8,2,1,"",22,9,9,7,"",4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104001,0,25,4,3,3,2,3,3,4,5,1,4,1,3,2,4,5,2,4,1,1,2,2,5,2,1,1,2,2,3,10,8,1,1,NA,NA,0,1,4,NA,NA,4.75,2,3,1.25,2.25,2.25,3.25,0,1,7,2.33333333333333,9.66666666666667,9.33333333333333,6.66666666666667,3,4,25,7.93725393319377,0,3,0,NA,1,1,1,0,0,9,9.5,1,-1,1,1,"Yes",-0.0555040556199305,-0.408554286820205
"24",26,1041,"dh",1,"",10,1,2,"",49,10,6,7,"",10,10,10,10,8,8,10,8,10,10,7,10,10,5,5,7,10,10,6,6,10,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,10,104101,1,26,4,3,4,1,2,4,4,4,3,4,1,2,4,4,4,3,4,1,1,4,4,4,3,5,1,2,4,4,10,5,2,1,NA,NA,20,1,4,NA,NA,4,3,4.25,1,1.75,4,4,1,1,9.4,2.4,7.3,6.8,6,5,5,144.9,300.824588977253,6,4,1.5,NA,0.668461194225408,0.6,5.4,2.15,0.4,6.8,7.3,0.6,-0.2,3.12192809488736,1,"Yes",0.14449594438007,0.591445713179795
"25",27,1043,"jj",1,"",10,1,1,"",44,10,10,7,"",NA,10,10,10,10,10,0,0,8,0,4,10,9,9,0,8,10,4,4,0,10,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,10,10,3,1,0,7,8,0,0,104301,0,27,2,1,2,1,3,1,1,2,1,2,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1,2,1,1,6,6,1,1,NA,NA,10,3,3,NA,NA,2,1,2,1,2,1,1,0,1,9.3,2.3,9,8.8,6.6,2,4,46.1,17.8478134359491,4,6,0.666666666666667,NA,0.681083564050438,0.511111111111111,4.6,2.8,0.488888888888889,8.8,9,0.511111111111111,-0.2,2.44643934467102,0,"Yes",-0.0555040556199305,-0.408554286820205
"26",28,1045,"jj",1,"",8,2,1,"",42,7,7,4,"",1,1,0,2,0,0,6,0,0,1,9,0,0,0,0,2,7,0,0,0,0,10,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104501,0,28,2,4,4,4,1,2,3,3,5,4,1,1,3,2,4,3,4,4,1,3,3,2,3,3,3,1,3,4,8,9,2,2,NA,NA,0,3,4,NA,NA,2.75,3.75,3.75,3,1,2.75,3,1,2,9,2.875,9.5,8.375,6.125,3,5,35.875,4.91172067609712,4,4,1,NA,0.404665545276465,0.321428571428571,2.25,3.25,0.678571428571429,8.375,9.5,0.321428571428571,0,2.5,1,"No",0.14449594438007,-0.408554286820205
"27",29,1046,"sh",1,"",10,1,1,"",46,10,10,4,"",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104601,0,29,1,4,5,4,1,3,4,5,4,5,3,1,4,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,10,10,1,1,NA,NA,25,3,4,NA,NA,3.5,4,4.5,3.75,1,3.75,4,0,1,10,1.375,10,10,4.375,2,5,27.125,13.5797906569179,2,6,0.333333333333333,NA,0.993865727513227,1,7,0,0,10,10,1,-0.5,2.15563906222957,1,"Yes",-0.0555040556199305,-0.408554286820205
"28",30,1049,"mb",3,"",9,1,1,"",21,10,10,5,"",6,7,10,7,9,-2,7,6,6,6,0,6,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104901,0,30,3,2,4,2,2,2,4,4,3,4,2,2,2,2,3,3,4,2,1,3,3,4,4,2,2,1,2,3,10,9,1,1,NA,NA,27,3,2,NA,NA,3.5,3,3.5,2,1.5,2.25,3,0,1,9.5,1.5,10,9.16666666666667,6.16666666666667,3,5,33,17.8773599840692,2,4,0.5,NA,0.749669102262985,0.733333333333333,3.66666666666667,1,0.266666666666667,9.16666666666667,10,0.733333333333333,-0.333333333333333,2.25162916738782,0,"Yes",-0.0555040556199305,-0.408554286820205
"29",31,1051,"ea",1,"",10,1,1,"",50,10,10,6,"",10,10,10,0,0,0,10,0,0,0,10,10,10,0,10,NA,NA,-10,0,0,0,NA,NA,NA,0,0,-3,0,NA,NA,NA,0,0,-1,0,10,0,0,0,0,0,0,0,0,0,105101,0,31,2,3,5,2,1,3,3,5,1,1,1,1,1,1,1,4,1,1,1,1,2,3,3,1,1,1,1,1,10,10,2,1,NA,NA,0,1,5,NA,NA,2.75,2.75,2,1.25,1,1.5,1.75,1,1,8.3,2.9,9,7,6.6,5,5,50.6,22.819095317543,3,7,0.428571428571429,NA,0.617629182298068,0.428571428571429,2.57142857142857,0.285714285714286,0.238095238095238,7.14285714285714,8.57142857142857,0.428571428571429,0.142857142857143,2.52164063634332,1,"No",0.14449594438007,-0.408554286820205
"30",33,1054,"st",1,"",10,1,1,"",45,10,10,7,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105401,0,33,4,5,5,2,1,5,5,5,5,5,1,1,5,5,5,5,5,1,1,5,5,5,5,5,3,1,5,5,10,10,1,1,NA,NA,4,1,5,NA,NA,4.75,5,5,1.75,1,5,5,0,1,10,1,10,10,5.5,2,2,47.5,3.53553390593274,1,1,1,NA,1,1,1,0,0,10,10,1,0,1,1,"Yes",-0.0555040556199305,-0.408554286820205
"31",34,1055,"dc",3,"",8,1,1,"",25,8,8,7,"",10,10,10,10,7,7,10,10,10,5,10,10,10,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105501,0,34,5,3,5,3,4,2,4,4,3,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,10,8,1,1,NA,NA,20,3,1,NA,NA,4.25,3.5,4.25,3.25,3.5,3.5,4,0,1,9.66666666666667,1.66666666666667,8.83333333333333,8.66666666666667,7.66666666666667,2,4,37.5,14.0107101889947,2,4,0.5,NA,0.928339803585863,1,5,0,0,8.66666666666667,8.83333333333333,1,-0.333333333333333,2.58496250072116,0,"Yes",-0.0555040556199305,-0.408554286820205
